Radix,Complexity,Time in ms,BubbleSort,Complexity,Time in s,GnomeSort,Complexity,Time in s,MergeSort,Complexity,Time in ms,QuikSort,Complexity,Time in ms
,1705,1.089,,1705,0.073139,,1705,0.053557,,1705,2.576,,1705,3.847
,1711,1.257,,1711,0.075761,,1711,0.05196,,1711,2.729,,1711,4.102
,1717,1.186,,1717,0.085421,,1717,0.064745,,1717,2.535,,1717,7.446
,1723,0.971,,1723,0.078497,,1723,0.054415,,1723,2.534,,1723,5.276
,1729,1.016,,1729,0.073453,,1729,0.052418,,1729,2.774,,1729,4.014
,1735,0.982,,1735,0.083631,,1735,0.055845,,1735,2.838,,1735,5.825
,1741,0.986,,1741,0.090986,,1741,0.053325,,1741,2.529,,1741,4.772
,1747,0.965,,1747,0.08421,,1747,0.066331,,1747,2.587,,1747,4.081
,1753,0.97,,1753,0.077283,,1753,0.054784,,1753,2.819,,1753,4.506
,1759,0.979,,1759,0.086936,,1759,0.067169,,1759,2.546,,1759,4.172
,1765,0.979,,1765,0.081205,,1765,0.073454,,1765,2.976,,1765,4.147
,1771,0.988,,1771,0.087186,,1771,0.077207,,1771,2.877,,1771,4.441
,1777,0.988,,1777,0.079333,,1777,0.053599,,1777,2.694,,1777,4.233
,1783,0.988,,1783,0.085703,,1783,0.055282,,1783,2.567,,1783,4.548
,1789,1.138,,1789,0.081823,,1789,0.055416,,1789,2.57,,1789,5.826
,1795,1.17,,1795,0.099277,,1795,0.087858,,1795,2.657,,1795,5.022
,1801,1.11,,1801,0.081957,,1801,0.055834,,1801,2.635,,1801,4.906
,1807,1.47,,1807,0.085998,,1807,0.057022,,1807,2.906,,1807,4.836
,1813,1.302,,1813,0.095515,,1813,0.058993,,1813,2.968,,1813,4.215
,1819,1.117,,1819,0.082944,,1819,0.070444,,1819,2.618,,1819,4.864
,1825,1.074,,1825,0.085363,,1825,0.057027,,1825,2.605,,1825,4.398
,1831,1.023,,1831,0.084288,,1831,0.057436,,1831,15.817,,1831,5.124
,1837,1.019,,1837,0.084163,,1837,0.067986,,1837,2.929,,1837,4.308
,1843,1.075,,1843,0.084001,,1843,0.086321,,1843,2.864,,1843,5.234
,1849,1.032,,1849,0.093594,,1849,0.058651,,1849,3.002,,1849,4.736
,1855,1.038,,1855,0.088506,,1855,0.060545,,1855,3.029,,1855,4.348
,1861,1.031,,1861,0.090744,,1861,0.059809,,1861,2.989,,1861,4.734
,1867,1.055,,1867,0.089875,,1867,0.07745,,1867,2.752,,1867,5.188
,1873,1.042,,1873,0.085669,,1873,0.061763,,1873,2.805,,1873,4.466
,1879,1.418,,1879,0.097205,,1879,0.061162,,1879,2.911,,1879,4.64
,1885,1.258,,1885,0.092325,,1885,0.061238,,1885,2.915,,1885,12.688
,1891,1.152,,1891,0.098645,,1891,0.068858,,1891,3.176,,1891,18.483
,1897,1.098,,1897,0.09363,,1897,0.070459,,1897,2.823,,1897,6.045
,1903,1.104,,1903,0.094665,,1903,0.073319,,1903,3.001,,1903,7.36
,1909,1.142,,1909,0.092151,,1909,0.075336,,1909,2.822,,1909,6.133
,1915,1.129,,1915,0.099017,,1915,0.06362,,1915,2.968,,1915,5.318
,1921,1.104,,1921,0.097153,,1921,0.062652,,1921,3.109,,1921,4.838
,1927,1.107,,1927,0.09836,,1927,0.079256,,1927,2.927,,1927,4.796
,1933,1.111,,1933,0.105156,,1933,0.075872,,1933,2.907,,1933,5.255
,1939,1.112,,1939,0.09457,,1939,0.079104,,1939,2.921,,1939,4.779
,1945,1.112,,1945,0.115884,,1945,0.064809,,1945,3.006,,1945,4.959
,1951,1.119,,1951,0.10074,,1951,0.096862,,1951,3.106,,1951,5.005
,1957,1.149,,1957,0.102204,,1957,0.063973,,1957,3.053,,1957,5.193
,1963,1.721,,1963,0.105267,,1963,0.071927,,1963,3.009,,1963,7.128
,1969,2.029,,1969,0.101204,,1969,0.066954,,1969,3.095,,1969,5.398
,1975,1.98,,1975,0.099359,,1975,0.078019,,1975,2.912,,1975,4.952
,1981,1.929,,1981,0.114583,,1981,0.067236,,1981,3.235,,1981,5.122
,1987,1.315,,1987,0.111211,,1987,0.07219,,1987,3.196,,1987,4.79
,1993,1.106,,1993,0.10226,,1993,0.079888,,1993,3.023,,1993,5.132
,1999,1.111,,1999,0.109629,,1999,0.077611,,1999,3.117,,1999,4.735
,2005,1.127,,2005,0.110055,,2005,0.070246,,2005,2.926,,2005,5.405
,2011,1.128,,2011,0.114972,,2011,0.096346,,2011,3.301,,2011,4.886
,2017,1.116,,2017,0.11405,,2017,0.068885,,2017,3.163,,2017,5.022
,2023,1.11,,2023,0.113785,,2023,0.07205,,2023,3.259,,2023,4.907
,2029,1.148,,2029,0.128405,,2029,0.085944,,2029,3.111,,2029,6.186
,2035,1.352,,2035,0.125289,,2035,0.088393,,2035,2.936,,2035,7.085
,2041,1.332,,2041,0.165284,,2041,0.072136,,2041,3.094,,2041,5.937
